Name,RedBr,GreenBr,BlueBr
004ed41f-6d30-4e37-a6ce-775f3ec6f2c6.jpg,168.78,137.52,119.88
004f0113-b2b7-438a-b660-c2477067c0a0.jpg,156.22,127.88,118.75
004f7c70-3ad0-4572-a322-ca3bc36309bf.jpg,225.33,192.48,174.61
004fc6cb-fcd2-4c33-9c21-eef22c6fd5a1.jpg,211.71,162.63,156.72
00506534-cc05-4977-ae45-4b236a2ef009.jpg,208.72,173.95,158.95
00509ee6-39f1-4399-887f-5a64437bf667.jpg,202.3,154.72,138.65
005134bf-f8fa-4b16-a0d1-25b9cba9769a.jpg,224.39,187.04,179.62
0051b031-7c3d-451d-84f6-416f65edda4f.jpg,147.77,110.53,104.25
0051f0d5-ec51-4e90-973f-eebcf5329d82.jpg,224.67,210.22,190.72
0051f943-dd38-466c-9bb6-3a0d86b34c6d.jpg,170.68,142.58,134.19
00522341-e173-4aec-b4c4-b38914e20636.jpg,152.55,105.84,97.06
00522bcf-ec7f-481c-a4ba-2d21f4b341cd.jpg,179.54,135.65,115.62
00527854-dae9-4d83-b9f2-7a70c4f021ed.jpg,172.96,128.46,126.98
00527e2d-3bed-4b40-8d2e-4776e66831fc.jpg,184.97,150.34,134.83
00533880-f4c7-40de-bd60-48d0422322b2.jpg,196.31,143.44,160.63
005437eb-5663-4e04-b061-3ae02a6f1fc8.jpg,219.86,188.97,159.11
0054dd72-0891-4790-8b39-66f0989735ca.jpg,224.72,191.69,178.74
0054f2b6-6429-4203-ba29-2c127fd4f438.jpg,146.87,131.59,124.24
00551986-2f14-423c-af3c-0ff9b20ee12c.jpg,156.28,116.44,111.34
005527af-e42a-4333-b09e-cd6f937a0468.jpg,147.8,80.94,66.09
0055467c-97c5-4b5e-9fe4-ad8698cc3372.jpg,228.62,188.88,173.72
00558193-b845-453a-8ff1-4faf0674c7b2.jpg,195.16,156.82,142.04
005597b1-444f-444f-927c-f3f632b11193.jpg,187.09,131.48,117.03
0055c85f-2c5b-4ebb-932a-a8cc92e8a01a.jpg,228.28,187.7,161.14
0055ccb5-1f32-4c36-b6fc-16430d58587e.jpg,235.51,188.13,181.96
00563c3a-e8f4-4818-9868-0576e00f9dfa.jpg,189.27,159.99,160.49
0056a414-0a3d-42bc-9afc-40d08030f572.jpg,162.28,126.25,126.09
0056f2c3-9872-468c-9a99-84c547e03251.jpg,198.48,138.98,137.19
005734be-d851-47b5-b9a5-92ce52857c97.jpg,181.88,141.89,127.67
00574d9b-2722-402a-9492-633d80a4e73d.jpg,202.76,148.59,151.9
00577158-faf8-43bc-9547-b6fabd580c0e.jpg,223.52,195.47,201.7
0057d80d-806e-476b-8ef3-c043ef47f86e.jpg,197.8,142.98,134.21
0057f2c4-5e7c-4817-b2cd-56e6b412f9fc.jpg,191.16,148.59,142.82
0059a79b-bf6c-4dcf-bb12-9ecf24f4c703.jpg,198.45,145.54,123.15
005b7217-e828-4d95-8031-11b76b921796.jpg,191.03,143.44,110.16
005b7e34-adfb-4120-8dc2-a46ebde87918.jpg,216.81,168.91,155.64
005bbdfa-03cc-46b7-a822-ee10a66b3c85.jpg,0,0,0
005d69ba-c1d9-4102-a767-6b2ef4d8dd4d.jpg,148.02,100.96,103.98
005dfa38-b76e-496d-a5e8-49993919e99e.jpg,211.74,152.22,139.45
005e8008-98e9-4109-a39f-0941a2796802.jpg,181.77,134.38,125.52
005e823c-636e-49b2-9d22-a4b1762b6362.jpg,197.69,144.64,133.83
005e83ff-c752-4fa4-a32c-8f83ebbcb4b3.jpg,212.04,154.67,143.55
005eee0e-2122-4b2f-934e-bcaf620be70d.jpg,225.89,160.59,170.56
005f2e16-f12a-4efa-975c-e71264f36ceb.jpg,205.2,152.48,142.62
005f656f-de2f-484e-930a-11fe1f53309d.jpg,232.44,177.86,178.07
005fd746-9fe1-4252-857b-dbf99338a288.jpg,142.9,116.22,104.94
006080e5-446f-4af9-9662-77833c692e13.jpg,214.36,180.11,168.09
00610770-bf94-4a96-9928-563572489e25.jpg,228.66,192.13,162.86
00615753-f9a7-4fca-afd0-b61070dc73f5.jpg,196.54,160.14,151.75
0062189b-505b-413c-b796-53cf43fa0265.jpg,215.68,163.47,141.43
0062a9ca-a994-4c7f-81da-45e5c57e0dda.jpg,232.36,189.28,180.48
0062c429-28c4-42bb-92a6-3138edcffa8c.jpg,212.06,169.03,156.14
0062c6f8-dd1c-4fed-9a9b-d2c772703c3a.jpg,216.16,159.57,151.66
0062e69d-0cba-49c0-934f-d4faaaecae36.jpg,0,0,0
0062f324-d57b-4576-9730-64f14f8adf15.jpg,167.15,132.8,125.43
006318ec-1370-4cc8-aadb-2fa746e292b2.jpg,238.49,169.72,127.37
0063f23a-11fb-4760-8885-d98ff9e757a1.jpg,225.95,165.38,147.35
0063fa78-48ef-4f05-ad53-d9416db3f475.jpg,198.16,145.97,136.86
00647d36-750c-461d-a744-679d0f31be81.jpg,198.54,140.01,121.19
0064c5f9-74dd-4e4f-a7b7-bd058c7b232b.jpg,199.38,154.38,126.67
0064defa-3d10-4f03-8946-f1db2d611158.jpg,223.84,169.75,172.84
0064e202-a898-4693-af5a-b4eb522ab066.jpg,164.85,117.76,106.62
